iaq,tvoc,etoh,iaq_rel,temp,hum,delta30s_iaq,delta30s_tvoc,delta30s_etoh,delta30s_iaq_rel,delta30s_temp,delta30s_hum,target_iaq_1min
1.0,0.0084,0.0158,53.0781,36.41,60.8,0.0,0.0,0.0,-1.2742000000000004,-0.010000000000005116,-0.15000000000000568,1.0
1.0,0.0084,0.0158,52.8769,36.39,60.78,0.0,0.0,0.0,-1.302500000000002,-0.03999999999999915,-0.12999999999999545,1.0
1.0,0.0084,0.0158,52.7661,36.38,60.78,0.0,0.0,0.0,-1.311799999999998,-0.03999999999999915,-0.060000000000002274,1.0
1.0,0.0084,0.0158,52.647,36.38,60.78,0.0,0.0,0.0,-1.275500000000001,0.0,-0.030000000000001137,1.0
1.0,0.0084,0.0158,52.5606,36.39,60.76,0.0,0.0,0.0,-1.2398000000000025,0.00999999999999801,-0.07000000000000028,1.0
1.0,0.0084,0.0158,52.4599,36.39,60.76,0.0,0.0,0.0,-1.1953999999999994,0.030000000000001137,-0.0800000000000054,1.0
1.0,0.0084,0.0158,52.3683,36.42,60.78,0.0,0.0,0.0,-1.189,0.060000000000002274,-0.0799999999999983,1.0
1.0,0.0084,0.0158,52.2397,36.41,60.81,0.0,0.0,0.0,-1.1666000000000025,0.04999999999999716,-0.04999999999999716,1.0
1.0,0.0084,0.0158,52.1069,36.43,60.84,0.0,0.0,0.0,-1.1696999999999989,0.03999999999999915,0.010000000000005116,1.0
1.0,0.0084,0.0158,52.0526,36.43,60.81,0.0,0.0,0.0,-1.178600000000003,0.03999999999999915,0.0,1.0
1.0,0.0084,0.0158,51.9937,36.45,60.79,0.0,0.0,0.0,-1.0844000000000023,0.04000000000000625,-0.00999999999999801,1.0
1.0,0.0084,0.0158,51.9291,36.46,60.77,0.0,0.0,0.0,-0.9478000000000009,0.07000000000000028,-0.00999999999999801,1.0
1.0,0.0084,0.0158,51.8166,36.45,60.75,0.0,0.0,0.0,-0.9495000000000005,0.07000000000000028,-0.030000000000001137,1.0
